Date,  AOR  ,SCHG.K  ,  QQQ.O  ,  ACWI.O  ,  ESGU.O  ,  CRBN.K  ,  ESGG.K  ,  AAPL.O  ,  MSFT.O  ,  JNJ  ,  PG  ,  V  ,  MA  ,  GOOG.O  ,  META.O  ,  TSLA.O  ,  AMZN.O  ,  UL  ,  JPM  ,  ADBE.O  ,  MRK  ,  PG  ,CL =F, 6E=F , 6B=F , TYX , TNX , FVX 
9/27/2018,0.01,0.005,0.005,0.06,0.095,0.135,0.005,0.275,0.005,0.03,0.005,0.06,0.095,0.135,0.275,0.005,0.025,0.04,0.005,0.355,0.005,0.005,0.355,0.005,0.005,0.005,0.01,0.005
9/28/2018,0.01,0.005,0.005,0.02,0.04,0.175,0.02,0.255,0.005,0.04,0.005,0.02,0.04,0.175,0.255,0.02,0.03,0.03,0.005,0.215,0.005,0.005,0.215,0.005,0.015,0.005,0.025,0.015
10/1/2018,0.005,0.005,0.005,0.06,0.035,0.425,0.005,0.345,0.01,0.04,0.005,0.06,0.035,0.425,0.345,0.02,0.04,0.019995,0.01,0.045,0.01,0.005,0.045,0.005,0.01,0.005,0.015,0.005
10/2/2018,0.005,0.005,0.005,0.055,0.05,0.365,0.015,0.325,0.01,0.03,0.005,0.055,0.05,0.365,0.325,0.01,0.03,0.01,0.005,0.14,0.005,0.005,0.14,0.005,0.005,0.005,0.005,0.015
10/3/2018,0.01,0.01,0.005,0.04,0.055,0.225,0.005,0.33,0.005,0.035,0.005,0.04,0.055,0.225,0.33,0.005,0.015,0.020005,0.005,0.195,0.005,0.005,0.195,0.005,0.005,0.005,0.01,0.035
10/4/2018,0.005,0.005,0.005,0.02,0.03,0.34,0.005,0.33,0.005,0.045,0.005,0.02,0.03,0.34,0.33,0.01,0.015,0.02,0.005,0.19,0.01,0.005,0.19,0.005,0.005,0.005,0.02,0.045
10/5/2018,0.005,0.005,0.005,0.035,0.01,0.4,0.025,0.465,0.005,0.055,0.005,0.035,0.01,0.4,0.465,0.01,0.04,0.010005,0.005,0.185,0.005,0.005,0.185,0.005,0.005,0.005,0.005,0.01
10/8/2018,0.005,0.005,0.005,0.025,0.01,0.225,0.005,0.45,0.005,0.07,0.005,0.025,0.01,0.225,0.45,0.025,0.025,0.04,0.005,0.115,0.005,0.005,0.115,0.005,0.01,0.005,0.01,0.005
10/9/2018,0.005,0.005,0.005,0.045,0.06,0.41,0.01,0.48,0.005,0.07,0.005,0.045,0.06,0.41,0.48,0.005,0.025,0.005,0.015,0.185,0.01,0.005,0.185,0.005,0.005,0.005,0.01,0.005
10/10/2018,0.005,0.005,0.005,0.02,0.1,0.055,0.015,0.455,0.005,0.01,0.005,0.02,0.1,0.055,0.455,0.01,0.015,0.035,0.005,0.22,0.005,0.005,0.22,0.005,0.01,0.005,0.005,0.01
10/11/2018,0.005,0.005,0.005,0.035,0.15,0.295,0.01,0.45,0.005,0.04,0.005,0.035,0.15,0.295,0.45,0.015,0.015,0.005005,0.005,0.17,0.005,0.005,0.17,0.005,0.005,0.005,0.02,0.01
10/12/2018,0.005,0.005,0.005,0.045,0.03,0.41,0.015,0.51,0.015,0.03,0.005,0.045,0.03,0.41,0.51,0.005,0.035,0.035005,0.005,0.21,0.005,0.01,0.21,0.005,0.005,0.01,0.005,0.025
10/15/2018,0.005,0.005,0.005,0.055,0.08,0.395,0.01,0.28,0.01,0.075,0.005,0.055,0.08,0.395,0.28,0.025,0.05,0.005,0.005,0.18,0.005,0.005,0.18,0.005,0.01,0.005,0.015,0.005
10/16/2018,0.005,0.005,0.005,0.09,0.01,0.5,0.015,0.435,0.005,0.03,0.005,0.09,0.01,0.5,0.435,0.02,0.02,0.03999,0.005,0.16,0.005,0.01,0.16,0.005,0.01,0.01,0.005,0.01
10/17/2018,0.005,0.005,0.005,0.1,0.04,0.37,0.005,0.485,0.005,0.02,0.005,0.1,0.04,0.37,0.485,0.02,0.04,0.01501,0.005,0.3,0.01,0.005,0.3,0.005,0.005,0.005,0.01,0.005
10/18/2018,0.005,0.005,0.005,0.02,0.04,0.495,0.015,0.23,0.005,0.05,0.005,0.02,0.04,0.495,0.23,0.02,0.01,0.02,0.01,0.195,0.005,0.005,0.195,0.005,0.005,0.005,0.035,0.005
10/19/2018,0.005,0.005,0.01,0.025,0.035,0.28,0.02,0.44,0.005,0.035,0.01,0.025,0.035,0.28,0.44,0.01,0.035,0.009995,0.005,0.17,0.005,0.005,0.17,0.005,0.01,0.005,0.02,0.005
10/22/2018,0.005,0.005,0.005,0.05,0.14,0.035,0.03,0.445,0.005,0.055,0.005,0.05,0.14,0.035,0.445,0.015,0.04,0.025005,0.005,0.08,0.005,0.01,0.08,0.005,0.005,0.01,0.015,0.01
10/23/2018,0.005,0.005,0.01,0.08,0.06,0.36,0.005,0.5,0.005,0.075,0.01,0.08,0.06,0.36,0.5,0.015,0.025,0.015,0.005,0.295,0.02,0.01,0.295,0.005,0.005,0.01,0.015,0.015
10/24/2018,0.005,0.005,0.005,0.12,0.05,0.335,0.005,0.38,0.005,0.03,0.005,0.12,0.05,0.335,0.38,0.015,0.02,0.020005,0.005,0.24,0.005,0.01,0.24,0.005,0.005,0.01,0.025,0.01
10/25/2018,0.005,0.005,0.005,0.085,0.095,0.25,0.01,0.31,0.005,0.025,0.005,0.085,0.095,0.25,0.31,0.05,0.025,0.005005,0.005,0.15,0.005,0.01,0.15,0.01,0.005,0.01,0.005,0.005
10/26/2018,0.005,0.005,0.005,0.015,0.07,0.505,0.005,0.375,0.005,0.05,0.005,0.015,0.07,0.505,0.375,0.02,0.02,0.015,0.005,0.015,0.01,0.005,0.015,0.005,0.015,0.005,0.015,0.005
10/29/2018,0.005,0.005,0.005,0.085,0.175,0.355,0.015,0.39,0.005,0.035,0.005,0.085,0.175,0.355,0.39,0.04,0.01,0.015,0.01,0.205,0.005,0.01,0.205,0.005,0.005,0.01,0.005,0.005
10/30/2018,0.005,0.005,0.005,0.09,0.045,0.34,0.02,0.345,0.01,0.025,0.005,0.09,0.045,0.34,0.345,0.01,0.03,0.040005,0.005,0.28,0.015,0.015,0.28,0.005,0.01,0.015,0.025,0.005
10/31/2018,0.005,0.005,0.01,0.03,0.065,0.24,0.025,0.385,0.005,0.035,0.01,0.03,0.065,0.24,0.385,0.02,0.025,0.045,0.005,0.31,0.005,0.005,0.31,0.005,0.005,0.005,0.03,0.015
11/1/2018,0.005,0.005,0.005,0.025,0.065,0.12,0.015,0.32,0.005,0.045,0.005,0.025,0.065,0.12,0.32,0.075,0.05,0.06,0.01,0.135,0.005,0.015,0.135,0.005,0.005,0.015,0.03,0.03
11/2/2018,0.005,0.005,0.01,0.055,0.035,0.29,0.02,0.265,0.005,0.075,0.01,0.055,0.035,0.29,0.265,0.005,0.01,0.035005,0.015,0.065,0.015,0.005,0.065,0.005,0.01,0.005,0.02,0.005
11/5/2018,0.005,0.005,0.005,0.045,0.025,0.33,0.02,0.255,0.01,0.065,0.005,0.045,0.025,0.33,0.255,0.01,0.01,0.045,0.005,0.19,0.025,0.005,0.19,0.005,0.005,0.005,0.03,0.02
