Date,Adj Close**,SPRTRN,RF
3-Apr-20,"2,488.65",0.067968231,0.59
6-Apr-20,"2,663.68",-0.001604332,0.68
7-Apr-20,"2,659.41",0.033489345,0.74
8-Apr-20,"2,749.98",0.014383439,0.76
9-Apr-20,"2,789.82",-0.010155993,0.73
13-Apr-20,"2,761.63",0.030114497,0.75
14-Apr-20,"2,846.06",-0.022276751,0.75
15-Apr-20,"2,783.36",0.005799859,0.64
16-Apr-20,"2,799.55",0.026440929,0.61
17-Apr-20,"2,874.56",-0.018042794,0.65
20-Apr-20,"2,823.16",-0.031155168,0.63
21-Apr-20,"2,736.56",0.022671301,0.57
22-Apr-20,"2,799.31",-0.000539564,0.62
23-Apr-20,"2,797.80",0.013822111,0.61
24-Apr-20,"2,836.74",0.014606872,0.6
27-Apr-20,"2,878.48",-0.005256139,0.66
28-Apr-20,"2,863.39",0.026236663,0.61
29-Apr-20,"2,939.51",-0.009255117,0.63
30-Apr-20,"2,912.43",-0.028460221,0.62
1-May-20,"2,830.71",0.004240812,0.64
4-May-20,"2,842.74",0.008999952,0.64
5-May-20,"2,868.44",-0.007003873,0.66
6-May-20,"2,848.42",0.011438949,0.71
7-May-20,"2,881.19",0.016730758,0.63
8-May-20,"2,929.80",0.000133106,0.68
11-May-20,"2,930.19",-0.020713427,0.73
12-May-20,"2,870.12",-0.017616956,0.68
13-May-20,"2,820.00",0.011458918,0.65
14-May-20,"2,852.50",0.003918692,0.62
15-May-20,"2,863.70",0.031015221,0.64
18-May-20,"2,953.91",-0.010539757,0.74
19-May-20,"2,922.94",0.016513934,0.71
20-May-20,"2,971.61",-0.007803935,0.68
21-May-20,"2,948.51",0.002350966,0.68
22-May-20,"2,955.45",0.012214262,0.66
26-May-20,"2,991.77",0.014718493,0.7
27-May-20,"3,036.13",-0.002110171,0.68
28-May-20,"3,029.73",0.004800768,0.71
29-May-20,"3,044.31",0.003744242,0.65
1-Jun-20,"3,055.73",0.008177279,0.66
2-Jun-20,"3,080.82",0.013556655,0.68
